invictus@invictus-Nitro-ANV15-51:~/Downloads/module1$ ls
folder1  qn1.sh  qn2.sh  qn3.sh  qn4  qn5  sampleFile2.txt  sampleFile.txt
invictus@invictus-Nitro-ANV15-51:~/Downloads/module1$ mv qn4 qn4.sh
invictus@invictus-Nitro-ANV15-51:~/Downloads/module1$ nano qn4.sh 
invictus@invictus-Nitro-ANV15-51:~/Downloads/module1$ chmod +x qn4.sh 
invictus@invictus-Nitro-ANV15-51:~/Downloads/module1$ cat qn4.sh 
ps aux
invictus@invictus-Nitro-ANV15-51:~/Downloads/module1$ ./qn4.sh 
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.2  0.0  23280 14296 ?        Ss   19:29   0:11 /sbin/init splash
root           2  0.0  0.0      0     0 ?        S    19:29   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    19:29   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   19:29   0:00 [kworker/R-rcu_g]
root           5  0.0  0.0      0     0 ?        I<   19:29   0:00 [kworker/R-rcu_p]
root           6  0.0  0.0      0     0 ?        I<   19:29   0:00 [kworker/R-slub_]
root           7  0.0  0.0      0     0 ?        I<   19:29   0:00 [kworker/R-netns]
root           9  0.0  0.0      0     0 ?        I<   19:29   0:00 [kworker/0:0H-events_highpri]
root          12  0.0  0.0      0     0 ?        I<   19:29   0:00 [kworker/R-mm_pe]
root          13  0.0  0.0      0     0 ?        I    19:29   0:00 [rcu_tasks_kthread]
root          14  0.0  0.0      0     0 ?        I    19:29   0:00 [rcu_tasks_rude_kthread]
root          15  0.0  0.0      0     0 ?        I    19:29   0:00 [rcu_tasks_trace_kthread]
root          16  0.0  0.0      0     0 ?        S    19:29   0:00 [ksoftirqd/0]
root          17  0.2  0.0      0     0 ?        R    19:29   0:10 [rcu_preempt]
root          18  0.0  0.0      0     0 ?        S    19:29   0:00 [migration/0]
root          19  0.0  0.0      0     0 ?        S    19:29   0:00 [idle_inject/0]
root          20  0.0  0.0      0     0 ?        S    19:29   0:00 [cpuhp/0]
root          21  0.0  0.0      0     0 ?        S    19:29   0:00 [cpuhp/2]
root          22  0.0  0.0      0     0 ?        S    19:29   0:00 [idle_inject/2]
root          23  0.0  0.0      0     0 ?        S    19:29   0:00 [migration/2]
root          24  0.0  0.0      0     0 ?        S    19:29   0:00 [ksoftirqd/2]
root          26  0.0  0.0      0     0 ?        I<   19:29   0:00 [kworker/2:0H-events_highpri]
root          27  0.0  0.0      0     0 ?        S    19:29   0:00 [cpuhp/4]
root          28  0.0  0.0      0     0 ?        S    19:29   0:00 [idle_inject/4]
root          29  0.0  0.0      0     0 ?        S    19:29   0:00 [migration/4]
root          30  0.0  0.0      0     0 ?        S    19:29   0:00 [ksoftirqd/4]
root          32  0.0  0.0      0     0 ?        I<   19:29   0:00 [kworker/4:0H-events_highpri]
root          33  0.0  0.0      0     0 ?        S    19:29   0:00 [cpuhp/6]
root          34  0.0  0.0      0     0 ?        S    19:29   0:00 [idle_inject/6]
root          35  0.0  0.0      0     0 ?        S    19:29   0:00 [migration/6]
root          36  0.0  0.0      0     0 ?        S    19:29   0:00 [ksoftirqd/6]
root          38  0.0  0.0      0     0 ?        I<   19:29   0:00 [kworker/6:0H-events_highpri]
root          39  0.0  0.0      0     0 ?        S    19:29   0:00 [cpuhp/8]
root          40  0.0  0.0      0     0 ?        S    19:29   0:00 [idle_inject/8]
root          41  0.0  0.0      0     0 ?        S    19:29   0:02 [migration/8]
root          42  0.0  0.0      0     0 ?        S    19:29   0:00 [ksoftirqd/8]
root          44  0.0  0.0      0     0 ?        I<   19:29   0:00 [kworker/8:0H-events_highpri]
root          45  0.0  0.0      0     0 ?        S    19:29   0:00 [cpuhp/9]
root          46  0.0  0.0      0     0 ?        S    19:29   0:00 [idle_inject/9]
root          47  0.0  0.0      0     0 ?        S    19:29   0:01 [migration/9]
root          48  0.0  0.0      0     0 ?        S    19:29   0:00 [ksoftirqd/9]
root          50  0.0  0.0      0     0 ?        I<   19:29   0:00 [kworker/9:0H-events_highpri]
root          51  0.0  0.0      0     0 ?        S    19:29   0:00 [cpuhp/10]
root          52  0.0  0.0      0     0 ?        S    19:29   0:00 [idle_inject/10]
root          53  0.0  0.0      0     0 ?        S    19:29   0:01 [migration/10]
root          54  0.0  0.0      0     0 ?        S    19:29   0:00 [ksoftirqd/10]
root          56  0.0  0.0      0     0 ?        I<   19:29   0:00 [kworker/10:0H-events_highpri]
root          57  0.0  0.0      0     0 ?        S    19:29   0:00 [cpuhp/11]
root          58  0.0  0.0      0     0 ?        S    19:29   0:00 [idle_inject/11]
root          59  0.0  0.0      0     0 ?        S    19:29   0:00 [migration/11]
root          60  0.0  0.0      0     0 ?        S    19:29   0:00 [ksoftirqd/11]
